region,parent,family,mark
root,root,root,excluded
grey,root,root,excluded
CH,root,root,excluded
CTX,root,root,excluded
CTXpl,root,root,excluded
Isocortex,Isocortex,Isocortex,upper
FRP,FRP,Isocortex,bottom
FRP1,FRP,Isocortex,bottom
FRP2/3,FRP,Isocortex,bottom
FRP5,FRP,Isocortex,bottom
FRP6a,FRP,Isocortex,bottom
FRP6b,FRP,Isocortex,bottom
MO,MO,Isocortex,bottom
MO1,MO,Isocortex,bottom
MO2/3,MO,Isocortex,bottom
MO5,MO,Isocortex,bottom
MO6a,MO,Isocortex,bottom
MO6b,MO,Isocortex,bottom
MOp,MO,Isocortex,bottom
MOp1,MO,Isocortex,bottom
MOp2/3,MO,Isocortex,bottom
MOp5,MO,Isocortex,bottom
MOp6a,MO,Isocortex,bottom
MOp6b,MO,Isocortex,bottom
MOs,MO,Isocortex,bottom
MOs1,MO,Isocortex,bottom
MOs2/3,MO,Isocortex,bottom
MOs5,MO,Isocortex,bottom
MOs6a,MO,Isocortex,bottom
MOs6b,MO,Isocortex,bottom
SS,SS,Isocortex,bottom
SS1,SS,Isocortex,bottom
SS2/3,SS,Isocortex,bottom
SS4,SS,Isocortex,bottom
SS5,SS,Isocortex,bottom
SS6a,SS,Isocortex,bottom
SS6b,SS,Isocortex,bottom
SSp,SS,Isocortex,bottom
SSp1,SS,Isocortex,bottom
SSp2/3,SS,Isocortex,bottom
SSp4,SS,Isocortex,bottom
SSp5,SS,Isocortex,bottom
SSp6a,SS,Isocortex,bottom
SSp6b,SS,Isocortex,bottom
SSp-n,SS,Isocortex,bottom
SSp-n1,SS,Isocortex,bottom
SSp-n2/3,SS,Isocortex,bottom
SSp-n4,SS,Isocortex,bottom
SSp-n5,SS,Isocortex,bottom
SSp-n6a,SS,Isocortex,bottom
SSp-n6b,SS,Isocortex,bottom
SSp-bfd,SS,Isocortex,bottom
SSp-bfd1,SS,Isocortex,bottom
SSp-bfd2/3,SS,Isocortex,bottom
SSp-bfd4,SS,Isocortex,bottom
SSp-bfd5,SS,Isocortex,bottom
SSp-bfd6a,SS,Isocortex,bottom
SSp-bfd6b,SS,Isocortex,bottom
VISrll,SS,Isocortex,bottom
VISrll1,SS,Isocortex,bottom
VISrll2/3,SS,Isocortex,bottom
VISrll4,SS,Isocortex,bottom
VISrll5,SS,Isocortex,bottom
VISrll6a,SS,Isocortex,bottom
VISrll6b,SS,Isocortex,bottom
SSp-ll,SS,Isocortex,bottom
SSp-ll1,SS,Isocortex,bottom
SSp-ll2/3,SS,Isocortex,bottom
SSp-ll4,SS,Isocortex,bottom
SSp-ll5,SS,Isocortex,bottom
SSp-ll6a,SS,Isocortex,bottom
SSp-ll6b,SS,Isocortex,bottom
SSp-m,SS,Isocortex,bottom
SSp-m1,SS,Isocortex,bottom
SSp-m2/3,SS,Isocortex,bottom
SSp-m4,SS,Isocortex,bottom
SSp-m5,SS,Isocortex,bottom
