X, Y, Z
8135.04,5948.19,3376.93
8135.32,5947.99,3376.6
8136.14,5947.41,3375.63
8137.48,5946.46,3374.04
8139.3,5945.16,3371.86
8141.58,5943.52,3369.13
8144.31,5941.58,3365.87
8147.44,5939.33,3362.12
8150.95,5936.81,3357.89
8154.83,5934.03,3353.22
8159.03,5931,3348.14
8163.54,5927.75,3342.67
8168.33,5924.29,3336.85
8173.37,5920.64,3330.7
8178.63,5916.82,3324.26
8184.1,5912.84,3317.55
8189.74,5908.73,3310.6
8195.53,5904.5,3303.44
8201.44,5900.17,3296.1
8207.44,5895.76,3288.6
8213.51,5891.28,3280.98
8219.63,5886.75,3273.27
8225.76,5882.2,3265.48
8231.88,5877.63,3257.67
8237.96,5873.07,3249.84
8243.99,5868.53,3242.03
8249.92,5864.03,3234.27
8255.74,5859.6,3226.59
8261.43,5855.23,3219.01
8266.99,5850.93,3211.51
8272.43,5846.69,3204.11
8277.74,5842.51,3196.79
8282.92,5838.4,3189.56
8287.98,5834.34,3182.41
8292.92,5830.34,3175.34
8297.74,5826.39,3168.35
8302.44,5822.49,3161.43
8307.03,5818.64,3154.59
8311.5,5814.84,3147.82
8315.85,5811.08,3141.12
8320.09,5807.36,3134.48
8324.22,5803.68,3127.91
8328.25,5800.04,3121.4
8332.16,5796.43,3114.95
8335.96,5792.85,3108.55
8339.66,5789.31,3102.22
8343.26,5785.79,3095.93
8346.75,5782.3,3089.69
8350.14,5778.83,3083.5
8353.43,5775.38,3077.36
8356.63,5771.95,3071.26
8359.72,5768.53,3065.2
8362.73,5765.13,3059.18
8365.63,5761.74,3053.19
8368.45,5758.36,3047.24
8371.17,5754.98,3041.32
8373.8,5751.61,3035.43
8376.35,5748.25,3029.57
8378.81,5744.88,3023.73
8381.18,5741.51,3017.91
8383.47,5738.13,3012.11
8385.68,5734.75,3006.33
8387.81,5731.36,3000.56
8389.85,5727.96,2994.81
8391.82,5724.54,2989.07
8393.71,5721.11,2983.33
8395.53,5717.65,2977.6
8397.28,5714.18,2971.88
8398.95,5710.69,2966.15
8400.55,5707.16,2960.42
8402.08,5703.61,2954.69
8403.54,5700.03,2948.96
8404.94,5696.42,2943.21
8406.27,5692.77,2937.46
8407.54,5689.09,2931.69
8408.74,5685.37,2925.9
8409.88,5681.6,2920.1
8410.97,5677.79,2914.28
8412,5673.94,2908.44
8412.97,5670.03,2902.57
8413.88,5666.08,2896.67
8414.75,5662.07,2890.75
8415.56,5658,2884.79
8416.32,5653.89,2878.81
8417.03,5649.72,2872.79
8417.7,5645.51,2866.75
8418.33,5641.24,2860.69
8418.92,5636.94,2854.6
8419.46,5632.58,2848.49
8419.98,5628.18,2842.35
8420.46,5623.75,2836.19
8420.9,5619.27,2830.01
8421.32,5614.75,2823.82
8421.71,5610.2,2817.6
8422.08,5605.61,2811.37
8422.43,5600.99,2805.13
8422.75,5596.33,2798.87
8423.06,5591.65,2792.59
8423.35,5586.93,2786.31
8423.63,5582.19,2780.01
8423.9,5577.42,2773.7
8424.16,5572.63,2767.39
8424.42,5567.82,2761.06
8424.67,5562.99,2754.73
8424.91,5558.13,2748.4
8425.16,5553.26,2742.06
8425.41,5548.37,2735.72
8425.67,5543.47,2729.37
8425.94,5538.55,2723.03
8426.21,5533.62,2716.68
8426.5,5528.69,2710.34
8426.8,5523.74,2704
8427.11,5518.79,2697.66
8427.45,5513.83,2691.33
8427.8,5508.86,2685.01
8428.18,5503.9,2678.69
8428.59,5498.93,2672.38
8429.02,5493.97,2666.08
8429.49,5489.01,2659.79
8429.98,5484.05,2653.51
8430.51,5479.1,2647.24
8431.08,5474.15,2640.99
8431.69,5469.22,2634.76
8432.33,5464.29,2628.53
8433.01,5459.37,2622.33
8433.71,5454.46,2616.14
8434.44,5449.55,2609.96
8435.2,5444.65,2603.79
8435.98,5439.75,2597.64
8436.77,5434.85,2591.5
8437.58,5429.96,2585.38
8438.39,5425.08,2579.26
8439.22,5420.19,2573.16
8440.05,5415.31,2567.07
8440.88,5410.42,2560.99
8441.71,5405.54,2554.93
8442.54,5400.66,2548.87
8443.36,5395.77,2542.83
8444.16,5390.88,2536.79
8444.96,5385.99,2530.77
8445.73,5381.1,2524.75
8446.48,5376.2,2518.75
8447.21,5371.3,2512.75
8447.92,5366.39,2506.76
8448.59,5361.48,2500.78
8449.23,5356.55,2494.81
8449.83,5351.62,2488.84
8450.4,5346.69,2482.89
8450.92,5341.74,2476.94
8451.39,5336.79,2471
8451.82,5331.82,2465.06
8452.19,5326.84,2459.13
8452.51,5321.85,2453.21
8452.77,5316.85,2447.29
8452.97,5311.84,2441.37
8453.1,5306.81,2435.47
8453.17,5301.77,2429.56
8453.16,5296.71,2423.66
8453.08,5291.64,2417.77
8452.94,5286.55,2411.88
8452.73,5281.44,2406
8452.46,5276.31,2400.13
8452.14,5271.17,2394.27
8451.76,5266,2388.42
8451.34,5260.82,2382.58
8450.88,5255.61,2376.76
8450.37,5250.38,2370.95
8449.84,5245.13,2365.17
8449.27,5239.86,2359.4
8448.67,5234.56,2353.65
8448.06,5229.23,2347.92
8447.42,5223.88,2342.22
8446.78,5218.5,2336.54
8446.12,5213.09,2330.89
8445.46,5207.66,2325.26
8444.79,5202.19,2319.66
8444.13,5196.7,2314.1
8443.47,5191.17,2308.56
8442.83,5185.61,2303.06
8442.2,5180.02,2297.6
8441.59,5174.4,2292.16
8441.01,5168.74,2286.77
8440.45,5163.05,2281.42
8439.92,5157.32,2276.1
8439.43,5151.55,2270.83
8438.98,5145.75,2265.6
8438.57,5139.91,2260.42
8438.21,5134.03,2255.28
8437.91,5128.11,2250.19
8437.66,5122.15,2245.15
8437.46,5116.15,2240.15
8437.32,5110.11,2235.2
8437.23,5104.03,2230.3
8437.2,5097.91,2225.45
8437.21,5091.76,2220.64
8437.27,5085.58,2215.88
8437.38,5079.35,2211.16
8437.53,5073.1,2206.49
8437.74,5066.81,2201.86
8437.98,5060.48,2197.27
8438.27,5054.13,2192.73
8438.6,5047.74,2188.23
8438.97,5041.32,2183.77
8439.38,5034.88,2179.34
8439.83,5028.4,2174.96
8440.31,5021.9,2170.62
8440.83,5015.37,2166.32
8441.39,5008.81,2162.06
8441.98,5002.23,2157.83
8442.6,4995.62,2153.64
8443.25,4988.99,2149.49
8443.93,4982.33,2145.37
8444.64,4975.65,2141.29
8445.38,4968.95,2137.25
8446.14,4962.23,2133.24
8446.93,4955.49,2129.26
8447.74,4948.72,2125.31
8448.57,4941.94,2121.4
8449.43,4935.15,2117.52
8450.3,4928.33,2113.67
8451.2,4921.5,2109.86
8452.11,4914.65,2106.07
8453.04,4907.79,2102.31
8453.98,4900.91,2098.58
8454.94,4894.02,2094.89
8455.91,4887.11,2091.21
8456.89,4880.2,2087.57
8457.88,4873.27,2083.95
8458.89,4866.33,2080.36
8459.9,4859.39,2076.8
8460.91,4852.43,2073.26
8461.93,4845.47,2069.74
8462.96,4838.5,2066.25
8463.99,4831.52,2062.78
8465.03,4824.53,2059.34
8466.06,4817.53,2055.92
8467.1,4810.53,2052.53
8468.13,4803.51,2049.16
8469.17,4796.49,2045.81
8470.21,4789.46,2042.49
8471.24,4782.42,2039.19
8472.27,4775.37,2035.91
8473.29,4768.31,2032.65
8474.31,4761.25,2029.42
8475.32,4754.17,2026.21
8476.33,4747.09,2023.02
8477.32,4739.99,2019.86
8478.31,4732.89,2016.72
8479.29,4725.78,2013.6
8480.26,4718.66,2010.5
8481.21,4711.53,2007.42
8482.15,4704.39,2004.36
8483.08,4697.25,2001.33
8484,4690.09,1998.32
8484.9,4682.92,1995.32
8485.78,4675.75,1992.35
8486.65,4668.56,1989.4
8487.49,4661.37,1986.47
8488.32,4654.16,1983.56
8489.13,4646.95,1980.67
8489.92,4639.73,1977.8
8490.68,4632.49,1974.94
8491.42,4625.25,1972.11
8492.14,4618,1969.3
8492.84,4610.73,1966.51
8493.5,4603.46,1963.74
8494.15,4596.18,1960.98
8494.76,4588.89,1958.24
8495.35,4581.59,1955.53
8495.9,4574.28,1952.83
8496.43,4566.95,1950.15
8496.93,4559.62,1947.49
8497.39,4552.28,1944.84
8497.82,4544.93,1942.22
8498.22,4537.56,1939.61
8498.58,4530.19,1937.02
8498.91,4522.81,1934.44
8499.2,4515.42,1931.88
8499.45,4508.01,1929.34
8499.66,4500.6,1926.82
8499.84,4493.17,1924.32
8499.99,4485.74,1921.83
8500.1,4478.29,1919.36
8500.18,4470.84,1916.91
8500.24,4463.38,1914.49
8500.26,4455.9,1912.08
8500.26,4448.42,1909.7
8500.24,4440.93,1907.34
8500.2,4433.43,1905.01
8500.13,4425.92,1902.69
8500.05,4418.4,1900.41
8499.96,4410.87,1898.15
8499.84,4403.34,1895.92
8499.72,4395.8,1893.71
8499.58,4388.25,1891.53
8499.44,4380.69,1889.38
8499.29,4373.12,1887.27
8499.13,4365.55,1885.18
8498.97,4357.97,1883.12
8498.81,4350.38,1881.1
8498.65,4342.78,1879.1
8498.49,4335.18,1877.15
8498.34,4327.57,1875.22
8498.19,4319.96,1873.33
8498.04,4312.34,1871.48
8497.91,4304.71,1869.66
8497.79,4297.08,1867.88
8497.68,4289.44,1866.14
8497.58,4281.79,1864.44
8497.5,4274.14,1862.78
8497.44,4266.49,1861.15
8497.4,4258.83,1859.57
8497.38,4251.16,1858.03
8497.39,4243.49,1856.53
8497.42,4235.81,1855.08
8497.47,4228.13,1853.67
8497.56,4220.45,1852.3
8497.68,4212.76,1850.98
8497.83,4205.07,1849.71
8498.01,4197.37,1848.48
8498.23,4189.67,1847.3
8498.49,4181.97,1846.17
8498.79,4174.26,1845.09
8499.12,4166.55,1844.06
8499.51,4158.84,1843.08
8499.93,4151.12,1842.15
8500.41,4143.4,1841.27
8500.92,4135.68,1840.45
8501.48,4127.96,1839.67
8502.08,4120.23,1838.94
8502.71,4112.5,1838.27
8503.38,4104.77,1837.64
8504.09,4097.03,1837.07
8504.83,4089.3,1836.54
8505.61,4081.56,1836.06
8506.42,4073.82,1835.63
8507.25,4066.07,1835.24
8508.12,4058.33,1834.9
8509.01,4050.58,1834.61
8509.92,4042.83,1834.37
8510.86,4035.08,1834.17
8511.82,4027.33,1834.02
8512.81,4019.57,1833.92
8513.81,4011.81,1833.86
8514.83,4004.06,1833.84
8515.86,3996.3,1833.87
8516.91,3988.54,1833.94
8517.98,3980.77,1834.05
8519.05,3973.01,1834.21
8520.14,3965.24,1834.41
8521.23,3957.48,1834.66
8522.33,3949.71,1834.94
8523.44,3941.94,1835.27
8524.55,3934.17,1835.64
8525.67,3926.4,1836.05
8526.79,3918.63,1836.5
8527.9,3910.86,1836.99
8529.02,3903.09,1837.52
8530.13,3895.31,1838.09
8531.23,3887.54,1838.7
8532.33,3879.76,1839.34
8533.43,3871.99,1840.03
8534.51,3864.21,1840.75
8535.58,3856.44,1841.51
8536.64,3848.66,1842.31
8537.69,3840.88,1843.14
8538.72,3833.11,1844.01
8539.74,3825.33,1844.92
8540.74,3817.55,1845.86
8541.72,3809.78,1846.84
8542.67,3802,1847.85
8543.61,3794.22,1848.9
8544.52,3786.45,1849.98
8545.4,3778.67,1851.1
8546.26,3770.9,1852.24
8547.09,3763.12,1853.43
8547.89,3755.35,1854.64
8548.66,3747.57,1855.89
8549.4,3739.8,1857.17
8550.1,3732.03,1858.48
8550.78,3724.26,1859.82
8551.42,3716.5,1861.2
8552.02,3708.74,1862.61
8552.59,3700.98,1864.05
8553.13,3693.23,1865.52
8553.63,3685.48,1867.03
8554.09,3677.74,1868.57
8554.52,3670.01,1870.14
8554.9,3662.28,1871.75
8555.25,3654.56,1873.38
8555.56,3646.84,1875.05
8555.83,3639.14,1876.75
8556.06,3631.44,1878.48
8556.24,3623.75,1880.25
8556.38,3616.07,1882.05
8556.48,3608.4,1883.88
8556.54,3600.74,1885.74
8556.55,3593.1,1887.63
8556.52,3585.46,1889.56
8556.44,3577.84,1891.52
8556.31,3570.23,1893.51
8556.14,3562.63,1895.53
8555.92,3555.04,1897.58
