X, Y, Z
7610.75,6228.06,4106.31
7611.48,6227.93,4106.43
7613.57,6227.55,4106.77
7616.94,6226.94,4107.3
7621.49,6226.11,4108
7627.1,6225.07,4108.84
7633.69,6223.83,4109.81
7641.15,6222.41,4110.87
7649.38,6220.82,4112.01
7658.27,6219.07,4113.19
7667.73,6217.18,4114.39
7677.66,6215.15,4115.6
7687.94,6213.01,4116.77
7698.5,6210.76,4117.9
7709.21,6208.43,4118.96
7719.99,6206.01,4119.91
7730.72,6203.52,4120.74
7741.32,6200.99,4121.42
7751.67,6198.41,4121.94
7761.71,6195.8,4122.26
7771.42,6193.17,4122.39
7780.84,6190.5,4122.33
7789.97,6187.82,4122.09
7798.81,6185.11,4121.67
7807.39,6182.38,4121.08
7815.72,6179.62,4120.31
7823.81,6176.85,4119.37
7831.67,6174.05,4118.27
7839.31,6171.24,4117
7846.75,6168.42,4115.57
7854,6165.58,4113.99
7861.07,6162.72,4112.25
7867.98,6159.85,4110.36
7874.73,6156.98,4108.33
7881.34,6154.09,4106.15
7887.83,6151.19,4103.84
7894.2,6148.29,4101.38
7900.47,6145.38,4098.8
7906.64,6142.46,4096.08
7912.74,6139.54,4093.23
7918.78,6136.62,4090.27
7924.76,6133.7,4087.18
7930.7,6130.78,4083.98
7936.62,6127.86,4080.66
7942.52,6124.94,4077.23
7948.41,6122.02,4073.7
7954.32,6119.11,4070.06
7960.23,6116.21,4066.32
7966.15,6113.31,4062.49
7972.08,6110.41,4058.56
7978.01,6107.51,4054.55
7983.95,6104.6,4050.45
7989.89,6101.7,4046.28
7995.83,6098.79,4042.02
8001.77,6095.88,4037.7
8007.71,6092.96,4033.3
8013.65,6090.03,4028.84
8019.58,6087.1,4024.32
8025.51,6084.15,4019.74
8031.44,6081.2,4015.11
8037.35,6078.23,4010.43
8043.26,6075.25,4005.7
8049.16,6072.25,4000.93
8055.04,6069.23,3996.12
8060.92,6066.2,3991.28
8066.78,6063.15,3986.41
8072.62,6060.08,3981.51
8078.45,6056.99,3976.59
8084.26,6053.88,3971.65
8090.06,6050.74,3966.7
8095.83,6047.57,3961.74
8101.58,6044.38,3956.76
8107.31,6041.17,3951.79
8113.02,6037.92,3946.82
8118.7,6034.64,3941.85
8124.35,6031.33,3936.88
