X, Y, Z
7553.96,6246.11,4152.11
7555.19,6245.67,4151.77
7558.68,6244.41,4150.78
7564.11,6242.44,4149.23
7571.17,6239.86,4147.18
7579.56,6236.78,4144.71
7588.95,6233.3,4141.88
7599.05,6229.52,4138.77
7609.53,6225.55,4135.45
7620.08,6221.48,4131.99
7630.4,6217.43,4128.47
7640.31,6213.46,4124.92
7649.8,6209.56,4121.35
7658.9,6205.73,4117.77
7667.63,6201.96,4114.16
7676,6198.25,4110.53
7684.03,6194.6,4106.87
7691.75,6191.01,4103.2
7699.16,6187.45,4099.51
7706.29,6183.94,4095.79
7713.16,6180.47,4092.05
7719.78,6177.03,4088.29
7726.18,6173.62,4084.5
7732.37,6170.23,4080.7
7738.37,6166.86,4076.86
7744.2,6163.51,4073.01
7749.87,6160.16,4069.13
7755.42,6156.82,4065.23
7760.84,6153.48,4061.3
7766.18,6150.14,4057.35
7771.43,6146.79,4053.37
7776.62,6143.42,4049.37
7781.78,6140.04,4045.35
7786.91,6136.63,4041.3
7792.03,6133.2,4037.22
7797.17,6129.73,4033.11
7802.35,6126.23,4028.99
7807.57,6122.69,4024.83
7812.87,6119.1,4020.65
7818.24,6115.46,4016.44
7823.69,6111.78,4012.2
7829.21,6108.04,4007.93
7834.79,6104.26,4003.63
7840.42,6100.44,3999.31
7846.1,6096.57,3994.95
7851.81,6092.65,3990.55
7857.56,6088.69,3986.13
7863.33,6084.69,3981.66
7869.11,6080.64,3977.17
7874.91,6076.55,3972.63
7880.7,6072.42,3968.06
7886.5,6068.25,3963.45
7892.27,6064.04,3958.8
7898.03,6059.79,3954.1
7903.76,6055.51,3949.37
7909.46,6051.18,3944.59
7915.11,6046.82,3939.77
7920.71,6042.42,3934.91
7926.26,6037.98,3930
7931.75,6033.51,3925.04
7937.16,6029,3920.03
7942.49,6024.46,3914.98
7947.74,6019.89,3909.88
7952.89,6015.29,3904.72
7957.95,6010.65,3899.52
7962.9,6005.98,3894.26
7967.73,6001.28,3888.95
7972.44,5996.55,3883.58
7977.02,5991.79,3878.16
7981.46,5987.01,3872.68
7985.76,5982.19,3867.14
7989.9,5977.35,3861.55
