X, Y, Z
9149.4,5324.2,2710.18
9149.49,5323.57,2709.95
9149.75,5321.77,2709.27
9150.18,5318.88,2708.18
9150.74,5315.01,2706.7
9151.44,5310.26,2704.86
9152.26,5304.73,2702.7
9153.19,5298.51,2700.23
9154.21,5291.72,2697.48
9155.31,5284.44,2694.49
9156.48,5276.79,2691.28
9157.7,5268.85,2687.88
9158.96,5260.73,2684.32
9160.26,5252.54,2680.63
9161.56,5244.36,2676.83
9162.88,5236.31,2672.95
9164.18,5228.42,2669.01
9165.48,5220.71,2665.01
9166.78,5213.16,2660.96
9168.07,5205.78,2656.85
9169.35,5198.56,2652.68
9170.63,5191.5,2648.46
9171.91,5184.59,2644.19
9173.18,5177.84,2639.87
9174.45,5171.23,2635.5
9175.71,5164.78,2631.09
9176.96,5158.46,2626.63
9178.21,5152.29,2622.12
9179.46,5146.25,2617.58
9180.7,5140.35,2612.99
9181.93,5134.57,2608.37
9183.16,5128.93,2603.71
9184.38,5123.41,2599.01
9185.6,5118.01,2594.28
9186.81,5112.73,2589.51
9188.02,5107.56,2584.72
9189.22,5102.51,2579.9
9190.42,5097.57,2575.05
9191.61,5092.73,2570.17
9192.79,5088,2565.27
9193.97,5083.37,2560.34
9195.15,5078.83,2555.4
9196.32,5074.39,2550.43
9197.48,5070.04,2545.45
9198.64,5065.78,2540.45
9199.79,5061.6,2535.43
9200.94,5057.51,2530.4
9202.08,5053.49,2525.36
9203.21,5049.55,2520.31
9204.34,5045.68,2515.25
9205.46,5041.88,2510.19
9206.58,5038.15,2505.12
9207.69,5034.48,2500.04
9208.8,5030.87,2494.96
9209.9,5027.32,2489.88
9210.99,5023.82,2484.81
9212.08,5020.37,2479.73
9213.16,5016.97,2474.66
9214.24,5013.62,2469.59
9215.31,5010.31,2464.54
9216.37,5007.04,2459.49
9217.43,5003.8,2454.45
9218.48,5000.59,2449.42
9219.53,4997.42,2444.41
9220.57,4994.27,2439.41
9221.6,4991.15,2434.43
9222.63,4988.04,2429.46
9223.65,4984.95,2424.52
9224.66,4981.88,2419.6
9225.67,4978.82,2414.7
9226.67,4975.77,2409.82
9227.67,4972.72,2404.97
9228.66,4969.67,2400.15
9229.64,4966.62,2395.36
9230.62,4963.57,2390.6
9231.59,4960.51,2385.87
9232.55,4957.44,2381.18
9233.51,4954.36,2376.52
9234.46,4951.26,2371.9
9235.4,4948.14,2367.32
9236.34,4945,2362.77
9237.27,4941.83,2358.27
9238.19,4938.63,2353.82
9239.11,4935.41,2349.41
9240.02,4932.14,2345.04
9240.92,4928.84,2340.73
9241.82,4925.5,2336.46
9242.71,4922.11,2332.25
9243.6,4918.68,2328.09
9244.47,4915.2,2323.98
9245.34,4911.66,2319.93
9246.21,4908.07,2315.94
9247.06,4904.42,2312
9247.91,4900.7,2308.13
9248.76,4896.92,2304.32
9249.59,4893.07,2300.58
9250.42,4889.15,2296.9
9251.24,4885.16,2293.28
9252.06,4881.08,2289.74
9252.86,4876.93,2286.27
9253.67,4872.69,2282.87
9254.46,4868.36,2279.54
9255.24,4863.95,2276.29
9256.02,4859.44,2273.11
9256.79,4854.84,2270.02
9257.56,4850.14,2266.99
9258.32,4845.35,2264.05
9259.07,4840.48,2261.17
9259.82,4835.52,2258.36
9260.56,4830.47,2255.63
9261.29,4825.35,2252.96
9262.02,4820.15,2250.35
9262.74,4814.86,2247.81
9263.46,4809.51,2245.32
9264.17,4804.08,2242.9
9264.88,4798.58,2240.54
9265.58,4793.02,2238.23
9266.28,4787.39,2235.97
9266.97,4781.7,2233.76
9267.66,4775.94,2231.61
9268.34,4770.13,2229.5
9269.03,4764.26,2227.45
9269.71,4758.34,2225.43
9270.38,4752.36,2223.46
9271.05,4746.34,2221.53
9271.72,4740.27,2219.63
9272.39,4734.15,2217.78
9273.05,4727.99,2215.96
9273.72,4721.79,2214.18
9274.38,4715.55,2212.42
9275.04,4709.28,2210.7
9275.69,4702.97,2209
9276.35,4696.63,2207.33
9277,4690.27,2205.69
9277.66,4683.87,2204.07
9278.31,4677.45,2202.46
9278.96,4671.01,2200.88
9279.61,4664.55,2199.32
9280.26,4658.07,2197.77
9280.92,4651.58,2196.23
9281.57,4645.07,2194.71
9282.22,4638.55,2193.19
9282.88,4632.03,2191.69
9283.53,4625.49,2190.18
9284.18,4618.96,2188.69
9284.84,4612.42,2187.2
9285.5,4605.88,2185.7
9286.16,4599.34,2184.21
9286.82,4592.81,2182.71
9287.48,4586.29,2181.21
9288.15,4579.77,2179.7
9288.82,4573.27,2178.19
9289.49,4566.79,2176.66
9290.16,4560.31,2175.12
9290.84,4553.86,2173.57
9291.52,4547.43,2172
9292.21,4541.02,2170.42
9292.89,4534.64,2168.81
9293.59,4528.28,2167.19
9294.28,4521.94,2165.55
9294.98,4515.63,2163.89
9295.67,4509.35,2162.22
9296.38,4503.08,2160.54
9297.08,4496.84,2158.85
9297.78,4490.61,2157.15
9298.47,4484.4,2155.44
9299.17,4478.21,2153.74
9299.87,4472.04,2152.02
9300.56,4465.88,2150.31
9301.26,4459.74,2148.6
9301.94,4453.61,2146.9
9302.63,4447.49,2145.19
9303.31,4441.38,2143.5
9303.98,4435.29,2141.81
9304.65,4429.2,2140.14
9305.31,4423.12,2138.47
9305.97,4417.05,2136.82
9306.61,4410.98,2135.19
9307.25,4404.92,2133.57
9307.88,4398.87,2131.98
9308.5,4392.81,2130.4
9309.12,4386.76,2128.85
9309.72,4380.71,2127.32
9310.31,4374.66,2125.82
9310.89,4368.61,2124.35
9311.45,4362.56,2122.91
9312,4356.5,2121.51
9312.54,4350.44,2120.13
9313.07,4344.38,2118.8
9313.58,4338.3,2117.5
9314.08,4332.22,2116.24
9314.56,4326.14,2115.02
9315.03,4320.04,2113.85
9315.47,4313.94,2112.72
9315.9,4307.82,2111.64
9316.32,4301.69,2110.61
9316.71,4295.54,2109.63
9317.09,4289.39,2108.7
9317.44,4283.21,2107.83
9317.78,4277.03,2107.01
9318.1,4270.83,2106.24
9318.4,4264.61,2105.52
9318.68,4258.38,2104.86
9318.95,4252.14,2104.25
9319.2,4245.89,2103.68
9319.43,4239.62,2103.17
9319.65,4233.35,2102.7
9319.85,4227.06,2102.28
9320.04,4220.76,2101.91
9320.22,4214.45,2101.59
9320.39,4208.14,2101.31
9320.54,4201.81,2101.07
9320.68,4195.48,2100.88
9320.81,4189.13,2100.73
9320.93,4182.78,2100.63
9321.04,4176.43,2100.56
9321.13,4170.06,2100.54
9321.22,4163.69,2100.56
9321.31,4157.32,2100.62
9321.38,4150.94,2100.72
9321.45,4144.55,2100.85
9321.51,4138.16,2101.02
9321.56,4131.77,2101.23
9321.61,4125.37,2101.48
9321.65,4118.97,2101.76
9321.69,4112.57,2102.08
9321.72,4106.17,2102.43
9321.76,4099.76,2102.81
9321.79,4093.36,2103.23
9321.81,4086.95,2103.68
9321.84,4080.55,2104.15
9321.86,4074.14,2104.66
9321.88,4067.74,2105.2
9321.91,4061.34,2105.77
9321.93,4054.94,2106.36
9321.95,4048.54,2106.99
9321.98,4042.14,2107.64
9322.01,4035.75,2108.31
9322.04,4029.37,2109.01
9322.07,4022.98,2109.74
9322.11,4016.6,2110.49
9322.16,4010.23,2111.26
9322.2,4003.86,2112.05
9322.26,3997.5,2112.87
9322.32,3991.15,2113.71
9322.38,3984.8,2114.57
9322.45,3978.46,2115.44
9322.53,3972.13,2116.34
9322.61,3965.8,2117.26
9322.7,3959.48,2118.2
9322.79,3953.16,2119.16
9322.88,3946.85,2120.14
9322.98,3940.55,2121.13
9323.08,3934.25,2122.15
9323.19,3927.96,2123.18
9323.3,3921.67,2124.23
9323.41,3915.39,2125.3
9323.53,3909.12,2126.39
9323.64,3902.85,2127.5
9323.76,3896.58,2128.62
9323.89,3890.32,2129.76
9324.01,3884.07,2130.92
9324.14,3877.82,2132.1
9324.26,3871.58,2133.29
9324.39,3865.34,2134.49
9324.52,3859.1,2135.72
9324.65,3852.87,2136.95
9324.78,3846.65,2138.21
9324.91,3840.43,2139.48
9325.04,3834.21,2140.76
9325.17,3828,2142.06
9325.3,3821.79,2143.38
9325.42,3815.59,2144.71
9325.55,3809.39,2146.05
9325.67,3803.2,2147.41
9325.8,3797,2148.78
9325.92,3790.82,2150.16
9326.04,3784.63,2151.56
9326.15,3778.45,2152.97
9326.27,3772.28,2154.39
9326.38,3766.1,2155.82
9326.49,3759.93,2157.27
9326.59,3753.77,2158.73
9326.69,3747.6,2160.2
9326.79,3741.44,2161.68
9326.88,3735.28,2163.18
9326.97,3729.13,2164.68
9327.05,3722.98,2166.2
9327.13,3716.83,2167.72
9327.21,3710.68,2169.26
9327.27,3704.54,2170.81
9327.34,3698.4,2172.36
9327.39,3692.26,2173.93
9327.44,3686.12,2175.51
9327.49,3679.98,2177.09
9327.52,3673.85,2178.68
9327.55,3667.72,2180.29
9327.58,3661.59,2181.9
9327.59,3655.46,2183.52
9327.6,3649.34,2185.14
9327.6,3643.21,2186.78
9327.59,3637.09,2188.42
9327.58,3630.97,2190.07
9327.55,3624.85,2191.73
9327.52,3618.73,2193.39
9327.47,3612.61,2195.06
9327.42,3606.5,2196.74
9327.36,3600.38,2198.42
9327.29,3594.26,2200.11
9327.21,3588.15,2201.81
9327.11,3582.04,2203.51
9327.01,3575.92,2205.21
9326.9,3569.81,2206.92
9326.77,3563.7,2208.63
9326.63,3557.59,2210.35
9326.49,3551.48,2212.08
9326.32,3545.37,2213.8
9326.15,3539.25,2215.54
9325.97,3533.14,2217.27
9325.77,3527.03,2219.01
9325.56,3520.92,2220.75
9325.34,3514.81,2222.5
9325.1,3508.7,2224.25
9324.86,3502.59,2226
9324.6,3496.48,2227.77
9324.33,3490.38,2229.54
9324.05,3484.27,2231.31
9323.76,3478.17,2233.09
9323.45,3472.07,2234.88
9323.14,3465.97,2236.68
9322.81,3459.87,2238.49
9322.47,3453.78,2240.3
9322.12,3447.69,2242.13
9321.76,3441.6,2243.96
9321.39,3435.52,2245.8
9321.01,3429.44,2247.66
9320.62,3423.36,2249.53
9320.22,3417.29,2251.4
9319.81,3411.22,2253.29
9319.39,3405.16,2255.19
9318.95,3399.1,2257.11
9318.51,3393.05,2259.03
9318.06,3387,2260.98
9317.6,3380.96,2262.93
9317.13,3374.92,2264.9
9316.65,3368.9,2266.88
9316.16,3362.87,2268.88
9315.66,3356.85,2270.9
9315.16,3350.84,2272.93
9314.64,3344.84,2274.98
9314.11,3338.85,2277.05
9313.58,3332.86,2279.13
9313.04,3326.88,2281.23
9312.49,3320.9,2283.35
9311.93,3314.94,2285.49
9311.36,3308.98,2287.65
9310.79,3303.04,2289.82
9310.2,3297.1,2292.02
9309.61,3291.17,2294.24
9309.01,3285.25,2296.48
9308.41,3279.34,2298.74
9307.79,3273.44,2301.02
9307.17,3267.55,2303.33
9306.54,3261.67,2305.66
9305.91,3255.8,2308.01
9305.27,3249.94,2310.38
9304.62,3244.09,2312.78
9303.96,3238.26,2315.21
9303.3,3232.43,2317.66
9302.63,3226.62,2320.13
9301.96,3220.82,2322.63
9301.28,3215.03,2325.16
9300.59,3209.25,2327.71
9299.89,3203.49,2330.29
9299.19,3197.73,2332.9
9298.49,3192,2335.54
9297.78,3186.27,2338.2
9297.06,3180.56,2340.89
9296.34,3174.86,2343.62
9295.61,3169.18,2346.37
9294.88,3163.51,2349.15
9294.14,3157.86,2351.97
9293.4,3152.22,2354.81
9292.65,3146.59,2357.69
9291.9,3140.98,2360.6
9291.14,3135.39,2363.54
9290.38,3129.81,2366.51
9289.62,3124.25,2369.52
9288.85,3118.7,2372.56
9288.07,3113.17,2375.63
9287.28,3107.66,2378.73
9286.49,3102.16,2381.86
9285.69,3096.68,2385.03
9284.88,3091.22,2388.22
9284.06,3085.78,2391.44
9283.23,3080.35,2394.7
9282.39,3074.94,2397.98
9281.54,3069.55,2401.29
9280.68,3064.18,2404.62
9279.8,3058.83,2407.99
9278.91,3053.5,2411.38
9278,3048.18,2414.8
9277.08,3042.89,2418.24
9276.14,3037.62,2421.72
9275.19,3032.36,2425.21
9274.22,3027.13,2428.73
9273.23,3021.91,2432.28
9272.23,3016.72,2435.84
9271.2,3011.55,2439.44
9270.15,3006.4,2443.05
9269.09,3001.27,2446.69
9268,2996.17,2450.35
9266.89,2991.08,2454.03
9265.76,2986.02,2457.73
9264.6,2980.98,2461.46
9263.42,2975.96,2465.2
9262.22,2970.97,2468.96
9260.99,2966,2472.75
9259.73,2961.05,2476.55
9258.45,2956.13,2480.37
9257.14,2951.23,2484.21
9255.8,2946.35,2488.06
9254.43,2941.5,2491.94
9253.03,2936.68,2495.83
9251.61,2931.88,2499.73
