X, Y, Z
8135.04,5948.19,7999.4
8135.32,5947.99,7999.73
8136.14,5947.41,8000.7
8137.48,5946.46,8002.29
8139.3,5945.16,8004.47
8141.58,5943.52,8007.2
8144.31,5941.58,8010.46
8147.44,5939.33,8014.21
8150.95,5936.81,8018.44
8154.83,5934.03,8023.11
8159.03,5931,8028.19
8163.54,5927.75,8033.66
8168.33,5924.29,8039.48
8173.37,5920.64,8045.62
8178.63,5916.82,8052.07
8184.1,5912.84,8058.78
8189.74,5908.73,8065.73
8195.53,5904.5,8072.89
8201.44,5900.17,8080.23
8207.44,5895.76,8087.73
8213.51,5891.28,8095.35
8219.63,5886.75,8103.06
8225.76,5882.2,8110.84
8231.88,5877.63,8118.66
8237.96,5873.07,8126.49
8243.99,5868.53,8134.3
8249.92,5864.03,8142.05
8255.74,5859.6,8149.73
8261.43,5855.23,8157.32
8266.99,5850.93,8164.82
8272.43,5846.69,8172.22
8277.74,5842.51,8179.54
8282.92,5838.4,8186.77
8287.98,5834.34,8193.92
8292.92,5830.34,8200.99
8297.74,5826.39,8207.98
8302.44,5822.49,8214.9
8307.03,5818.64,8221.74
8311.5,5814.84,8228.51
8315.85,5811.08,8235.21
8320.09,5807.36,8241.85
8324.22,5803.68,8248.42
8328.25,5800.04,8254.93
8332.16,5796.43,8261.38
8335.96,5792.85,8267.77
8339.66,5789.31,8274.11
8343.26,5785.79,8280.4
8346.75,5782.3,8286.64
8350.14,5778.83,8292.82
8353.43,5775.38,8298.97
8356.63,5771.95,8305.07
8359.72,5768.53,8311.13
8362.73,5765.13,8317.15
8365.63,5761.74,8323.13
8368.45,5758.36,8329.08
8371.17,5754.98,8335.01
8373.8,5751.61,8340.9
8376.35,5748.25,8346.76
8378.81,5744.88,8352.6
8381.18,5741.51,8358.42
8383.47,5738.13,8364.22
8385.68,5734.75,8370
8387.81,5731.36,8375.77
8389.85,5727.96,8381.52
8391.82,5724.54,8387.26
8393.71,5721.11,8393
8395.53,5717.65,8398.73
8397.28,5714.18,8404.45
8398.95,5710.69,8410.18
8400.55,5707.16,8415.91
8402.08,5703.61,8421.63
8403.54,5700.03,8427.37
8404.94,5696.42,8433.12
8406.27,5692.77,8438.87
8407.54,5689.09,8444.64
8408.74,5685.37,8450.42
8409.88,5681.6,8456.23
8410.97,5677.79,8462.05
8412,5673.94,8467.89
8412.97,5670.03,8473.76
8413.88,5666.08,8479.66
8414.75,5662.07,8485.58
8415.56,5658,8491.54
8416.32,5653.89,8497.52
8417.03,5649.72,8503.53
8417.7,5645.51,8509.57
8418.33,5641.24,8515.64
8418.92,5636.94,8521.73
8419.46,5632.58,8527.84
8419.98,5628.18,8533.98
8420.46,5623.75,8540.14
8420.9,5619.27,8546.31
8421.32,5614.75,8552.51
8421.71,5610.2,8558.72
8422.08,5605.61,8564.96
8422.43,5600.99,8571.2
8422.75,5596.33,8577.46
8423.06,5591.65,8583.74
8423.35,5586.93,8590.02
8423.63,5582.19,8596.32
8423.9,5577.42,8602.63
8424.16,5572.63,8608.94
8424.42,5567.82,8615.27
8424.67,5562.99,8621.6
8424.91,5558.13,8627.93
8425.16,5553.26,8634.27
8425.41,5548.37,8640.61
8425.67,5543.47,8646.96
8425.94,5538.55,8653.3
8426.21,5533.62,8659.65
8426.5,5528.69,8665.99
8426.8,5523.74,8672.33
8427.11,5518.79,8678.67
8427.45,5513.83,8685
8427.8,5508.86,8691.32
8428.18,5503.9,8697.64
8428.59,5498.93,8703.95
8429.02,5493.97,8710.25
8429.49,5489.01,8716.54
8429.98,5484.05,8722.82
8430.51,5479.1,8729.08
8431.08,5474.15,8735.34
8431.69,5469.22,8741.57
8432.33,5464.29,8747.79
8433.01,5459.37,8754
8433.71,5454.46,8760.19
8434.44,5449.55,8766.37
8435.2,5444.65,8772.54
8435.98,5439.75,8778.69
8436.77,5434.85,8784.83
8437.58,5429.96,8790.95
8438.39,5425.08,8797.07
8439.22,5420.19,8803.17
8440.05,5415.31,8809.26
8440.88,5410.42,8815.33
8441.71,5405.54,8821.4
8442.54,5400.66,8827.46
8443.36,5395.77,8833.5
8444.16,5390.88,8839.54
8444.96,5385.99,8845.56
8445.73,5381.1,8851.58
8446.48,5376.2,8857.58
8447.21,5371.3,8863.58
8447.92,5366.39,8869.57
8448.59,5361.48,8875.55
8449.23,5356.55,8881.52
8449.83,5351.62,8887.48
8450.4,5346.69,8893.44
8450.92,5341.74,8899.39
8451.39,5336.79,8905.33
8451.82,5331.82,8911.27
8452.19,5326.84,8917.2
8452.51,5321.85,8923.12
8452.77,5316.85,8929.04
8452.97,5311.84,8934.96
8453.1,5306.81,8940.86
8453.17,5301.77,8946.77
8453.16,5296.71,8952.67
8453.08,5291.64,8958.56
8452.94,5286.55,8964.45
8452.73,5281.44,8970.33
8452.46,5276.31,8976.2
8452.14,5271.17,8982.06
8451.76,5266,8987.91
8451.34,5260.82,8993.75
8450.88,5255.61,8999.57
8450.37,5250.38,9005.37
8449.84,5245.13,9011.16
8449.27,5239.86,9016.93
8448.67,5234.56,9022.68
8448.06,5229.23,9028.41
8447.42,5223.88,9034.11
8446.78,5218.5,9039.79
8446.12,5213.09,9045.44
8445.46,5207.66,9051.07
8444.79,5202.19,9056.66
8444.13,5196.7,9062.23
8443.47,5191.17,9067.76
8442.83,5185.61,9073.27
8442.2,5180.02,9078.73
8441.59,5174.4,9084.16
8441.01,5168.74,9089.56
8440.45,5163.05,9094.91
8439.92,5157.32,9100.23
8439.43,5151.55,9105.5
8438.98,5145.75,9110.73
8438.57,5139.91,9115.91
8438.21,5134.03,9121.05
8437.91,5128.11,9126.14
8437.66,5122.15,9131.18
8437.46,5116.15,9136.18
8437.32,5110.11,9141.12
8437.23,5104.03,9146.02
8437.2,5097.91,9150.88
8437.21,5091.76,9155.69
8437.27,5085.58,9160.45
8437.38,5079.35,9165.17
8437.53,5073.1,9169.84
8437.74,5066.81,9174.47
8437.98,5060.48,9179.05
8438.27,5054.13,9183.6
8438.6,5047.74,9188.1
8438.97,5041.32,9192.56
8439.38,5034.88,9196.98
8439.83,5028.4,9201.36
8440.31,5021.9,9205.71
8440.83,5015.37,9210.01
8441.39,5008.81,9214.27
8441.98,5002.23,9218.5
8442.6,4995.62,9222.69
8443.25,4988.99,9226.84
8443.93,4982.33,9230.96
8444.64,4975.65,9235.04
8445.38,4968.95,9239.08
8446.14,4962.23,9243.09
8446.93,4955.49,9247.07
8447.74,4948.72,9251.01
8448.57,4941.94,9254.93
8449.43,4935.15,9258.81
8450.3,4928.33,9262.65
8451.2,4921.5,9266.47
8452.11,4914.65,9270.26
8453.04,4907.79,9274.02
8453.98,4900.91,9277.74
8454.94,4894.02,9281.44
8455.91,4887.11,9285.12
8456.89,4880.2,9288.76
8457.88,4873.27,9292.38
8458.89,4866.33,9295.97
8459.9,4859.39,9299.53
8460.91,4852.43,9303.07
8461.93,4845.47,9306.59
8462.96,4838.5,9310.08
8463.99,4831.52,9313.55
8465.03,4824.53,9316.99
8466.06,4817.53,9320.41
8467.1,4810.53,9323.8
8468.13,4803.51,9327.17
8469.17,4796.49,9330.52
8470.21,4789.46,9333.84
8471.24,4782.42,9337.14
8472.27,4775.37,9340.42
8473.29,4768.31,9343.68
8474.31,4761.25,9346.91
8475.32,4754.17,9350.12
8476.33,4747.09,9353.3
8477.32,4739.99,9356.47
8478.31,4732.89,9359.61
8479.29,4725.78,9362.73
8480.26,4718.66,9365.83
8481.21,4711.53,9368.91
8482.15,4704.39,9371.96
8483.08,4697.25,9375
8484,4690.09,9378.01
8484.9,4682.92,9381.01
8485.78,4675.75,9383.98
8486.65,4668.56,9386.93
8487.49,4661.37,9389.86
8488.32,4654.16,9392.77
8489.13,4646.95,9395.66
8489.92,4639.73,9398.53
8490.68,4632.49,9401.38
8491.42,4625.25,9404.21
8492.14,4618,9407.03
8492.84,4610.73,9409.82
8493.5,4603.46,9412.59
8494.15,4596.18,9415.35
8494.76,4588.89,9418.08
8495.35,4581.59,9420.8
8495.9,4574.28,9423.5
8496.43,4566.95,9426.18
8496.93,4559.62,9428.84
8497.39,4552.28,9431.49
8497.82,4544.93,9434.11
8498.22,4537.56,9436.72
8498.58,4530.19,9439.31
8498.91,4522.81,9441.89
8499.2,4515.42,9444.44
8499.45,4508.01,9446.98
8499.66,4500.6,9449.51
8499.84,4493.17,9452.01
8499.99,4485.74,9454.5
8500.1,4478.29,9456.97
8500.18,4470.84,9459.41
8500.24,4463.38,9461.84
8500.26,4455.9,9464.25
8500.26,4448.42,9466.63
8500.24,4440.93,9468.99
8500.2,4433.43,9471.32
8500.13,4425.92,9473.63
8500.05,4418.4,9475.92
8499.96,4410.87,9478.18
8499.84,4403.34,9480.41
8499.72,4395.8,9482.62
8499.58,4388.25,9484.8
8499.44,4380.69,9486.94
8499.29,4373.12,9489.06
8499.13,4365.55,9491.15
8498.97,4357.97,9493.21
8498.81,4350.38,9495.23
8498.65,4342.78,9497.22
8498.49,4335.18,9499.18
8498.34,4327.57,9501.11
8498.19,4319.96,9503
8498.04,4312.34,9504.85
8497.91,4304.71,9506.67
8497.79,4297.08,9508.45
8497.68,4289.44,9510.19
8497.58,4281.79,9511.89
8497.5,4274.14,9513.55
8497.44,4266.49,9515.18
8497.4,4258.83,9516.76
8497.38,4251.16,9518.3
8497.39,4243.49,9519.79
8497.42,4235.81,9521.25
8497.47,4228.13,9522.66
8497.56,4220.45,9524.03
8497.68,4212.76,9525.35
8497.83,4205.07,9526.62
8498.01,4197.37,9527.85
8498.23,4189.67,9529.03
8498.49,4181.97,9530.16
8498.79,4174.26,9531.24
8499.12,4166.55,9532.27
8499.51,4158.84,9533.25
8499.93,4151.12,9534.18
8500.41,4143.4,9535.06
8500.92,4135.68,9535.88
8501.48,4127.96,9536.66
8502.08,4120.23,9537.38
8502.71,4112.5,9538.06
8503.38,4104.77,9538.69
8504.09,4097.03,9539.26
8504.83,4089.3,9539.79
8505.61,4081.56,9540.27
8506.42,4073.82,9540.7
8507.25,4066.07,9541.09
8508.12,4058.33,9541.42
8509.01,4050.58,9541.71
8509.92,4042.83,9541.96
8510.86,4035.08,9542.15
8511.82,4027.33,9542.31
8512.81,4019.57,9542.41
8513.81,4011.81,9542.47
8514.83,4004.06,9542.49
8515.86,3996.3,9542.46
8516.91,3988.54,9542.39
8517.98,3980.77,9542.27
8519.05,3973.01,9542.12
8520.14,3965.24,9541.92
8521.23,3957.48,9541.67
8522.33,3949.71,9541.39
8523.44,3941.94,9541.06
8524.55,3934.17,9540.69
8525.67,3926.4,9540.28
8526.79,3918.63,9539.83
8527.9,3910.86,9539.34
8529.02,3903.09,9538.81
8530.13,3895.31,9538.24
8531.23,3887.54,9537.63
8532.33,3879.76,9536.99
8533.43,3871.99,9536.3
8534.51,3864.21,9535.58
8535.58,3856.44,9534.82
8536.64,3848.66,9534.02
8537.69,3840.88,9533.19
8538.72,3833.11,9532.32
8539.74,3825.33,9531.41
8540.74,3817.55,9530.47
8541.72,3809.78,9529.49
8542.67,3802,9528.48
8543.61,3794.22,9527.43
8544.52,3786.45,9526.35
8545.4,3778.67,9525.23
8546.26,3770.9,9524.08
8547.09,3763.12,9522.9
8547.89,3755.35,9521.69
8548.66,3747.57,9520.44
8549.4,3739.8,9519.16
8550.1,3732.03,9517.85
8550.78,3724.26,9516.51
8551.42,3716.5,9515.13
8552.02,3708.74,9513.72
8552.59,3700.98,9512.28
8553.13,3693.23,9510.8
8553.63,3685.48,9509.3
8554.09,3677.74,9507.76
8554.52,3670.01,9506.19
8554.9,3662.28,9504.58
8555.25,3654.56,9502.95
8555.56,3646.84,9501.28
8555.83,3639.14,9499.58
8556.06,3631.44,9497.84
8556.24,3623.75,9496.08
8556.38,3616.07,9494.28
8556.48,3608.4,9492.45
8556.54,3600.74,9490.59
8556.55,3593.1,9488.7
8556.52,3585.46,9486.77
8556.44,3577.84,9484.81
8556.31,3570.23,9482.82
8556.14,3562.63,9480.8
8555.92,3555.04,9478.75
8555.65,3547.47,9476.66
8555.33,3539.92,9474.54
8554.96,3532.38,9472.39
8554.54,3524.85,9470.21
8554.07,3517.34,9468
8553.54,3509.85,9465.75
8552.97,3502.37,9463.48
8552.33,3494.91,9461.17
8551.65,3487.47,9458.83
8550.91,3480.05,9456.46
8550.12,3472.65,9454.05
8549.26,3465.27,9451.62
8548.35,3457.9,9449.15
8547.39,3450.56,9446.65
8546.36,3443.24,9444.12
8545.28,3435.94,9441.56
8544.13,3428.66,9438.97
8542.93,3421.4,9436.34
8541.66,3414.17,9433.69
8540.33,3406.96,9431
8538.94,3399.78,9428.28
8537.49,3392.61,9425.53
8535.97,3385.48,9422.75
8534.39,3378.37,9419.93
8532.75,3371.28,9417.09
8531.05,3364.22,9414.21
8529.3,3357.18,9411.31
8527.51,3350.16,9408.37
8525.66,3343.17,9405.4
8523.78,3336.19,9402.4
8521.86,3329.24,9399.37
8519.9,3322.31,9396.31
8517.92,3315.4,9393.22
8515.9,3308.5,9390.09
8513.87,3301.63,9386.94
8511.81,3294.77,9383.75
8509.74,3287.93,9380.54
8507.65,3281.1,9377.29
8505.56,3274.29,9374.01
8503.46,3267.5,9370.7
8501.36,3260.72,9367.37
8499.26,3253.95,9364
8497.17,3247.2,9360.6
8495.09,3240.46,9357.17
8493.02,3233.73,9353.7
8490.96,3227.02,9350.21
8488.93,3220.31,9346.69
8486.92,3213.62,9343.14
8484.94,3206.93,9339.56
8482.99,3200.25,9335.94
8481.07,3193.58,9332.3
8479.2,3186.92,9328.63
8477.36,3180.27,9324.92
8475.57,3173.62,9321.19
8473.83,3166.98,9317.43
8472.14,3160.34,9313.63
8470.51,3153.71,9309.81
8468.94,3147.08,9305.96
8467.43,3140.46,9302.07
8465.99,3133.84,9298.16
8464.62,3127.22,9294.22
8463.33,3120.6,9290.25
8462.12,3113.98,9286.24
