X, Y, Z
8151.66,5870,7974.01
8151.64,5869.7,7974.41
8151.58,5868.83,7975.6
8151.47,5867.4,7977.53
8151.32,5865.44,7980.19
8151.13,5862.97,7983.52
8150.89,5860.03,7987.5
8150.61,5856.63,7992.09
8150.29,5852.81,7997.26
8149.92,5848.57,8002.98
8149.51,5843.96,8009.21
8149.05,5838.99,8015.92
8148.55,5833.7,8023.07
8148.01,5828.09,8030.63
8147.42,5822.21,8038.56
8146.78,5816.07,8046.84
8146.1,5809.69,8055.43
8145.38,5803.11,8064.29
8144.61,5796.35,8073.38
8143.79,5789.44,8082.69
8142.93,5782.39,8092.17
8142.02,5775.23,8101.78
8141.06,5767.99,8111.5
8140.06,5760.69,8121.29
8139.02,5753.36,8131.11
8137.92,5746.02,8140.94
8136.78,5738.7,8150.73
8135.59,5731.42,8160.46
8134.35,5724.21,8170.09
8133.07,5717.09,8179.58
8131.74,5710.08,8188.91
8130.36,5703.22,8198.04
8128.93,5696.52,8206.93
8127.46,5690.01,8215.55
8125.93,5683.71,8223.86
8124.36,5677.66,8231.84
8122.74,5671.87,8239.45
8121.07,5666.37,8246.65
8119.35,5661.18,8253.42
8117.58,5656.34,8259.7
8115.76,5651.85,8265.49
8113.89,5647.76,8270.72
8111.97,5644.08,8275.39
8110,5640.84,8279.45
8107.99,5638.06,8282.86
8105.92,5635.77,8285.59
8103.8,5634,8287.62
8101.63,5632.76,8288.89
8099.4,5632.08,8289.39
8097.13,5631.99,8289.08
8094.81,5632.51,8287.92
8092.43,5633.67,8285.88
8090,5635.49,8282.92
8087.53,5638,8279.01
8085,5641.16,8274.21
8082.45,5644.83,8268.71
8079.88,5648.85,8262.73
8077.32,5653.08,8256.48
8074.79,5657.36,8250.18
8072.31,5661.54,8244.05
8069.88,5665.47,8238.3
8067.53,5669.05,8233.07
8065.25,5672.26,8228.37
8063.05,5675.13,8224.19
8060.92,5677.66,8220.51
8058.85,5679.84,8217.33
8056.86,5681.69,8214.63
8054.94,5683.22,8212.42
8053.09,5684.42,8210.68
8051.3,5685.3,8209.39
8049.58,5685.88,8208.56
8047.93,5686.15,8208.17
8046.34,5686.12,8208.21
8044.81,5685.8,8208.67
8043.35,5685.19,8209.54
8041.95,5684.3,8210.82
8040.61,5683.14,8212.49
8039.33,5681.7,8214.54
8038.11,5680,8216.98
8036.95,5678.04,8219.77
8035.84,5675.83,8222.92
8034.79,5673.37,8226.42
8033.79,5670.67,8230.26
8032.85,5667.74,8234.42
8031.97,5664.57,8238.9
8031.13,5661.18,8243.69
8030.35,5657.58,8248.78
8029.61,5653.76,8254.16
8028.93,5649.73,8259.82
8028.29,5645.5,8265.75
8027.71,5641.08,8271.94
8027.17,5636.47,8278.38
8026.67,5631.67,8285.07
8026.22,5626.7,8291.99
8025.81,5621.55,8299.13
8025.45,5616.24,8306.49
8025.13,5610.76,8314.05
8024.85,5605.13,8321.8
8024.61,5599.36,8329.75
8024.41,5593.43,8337.87
8024.24,5587.38,8346.15
8024.12,5581.18,8354.59
8024.03,5574.87,8363.19
8023.97,5568.43,8371.92
8023.95,5561.88,8380.77
8023.97,5555.21,8389.75
8024.01,5548.45,8398.84
8024.09,5541.59,8408.03
8024.2,5534.63,8417.31
8024.34,5527.59,8426.67
8024.5,5520.47,8436.1
8024.7,5513.28,8445.6
8024.92,5506.02,8455.15
8025.17,5498.69,8464.75
8025.44,5491.31,8474.38
8025.73,5483.87,8484.03
8026.05,5476.39,8493.7
8026.4,5468.87,8503.37
8026.76,5461.31,8513.05
8027.14,5453.73,8522.71
8027.54,5446.12,8532.34
8027.96,5438.5,8541.95
8028.4,5430.87,8551.51
8028.86,5423.23,8561.03
8029.33,5415.59,8570.48
8029.81,5407.96,8579.87
8030.31,5400.34,8589.17
8030.82,5392.73,8598.39
8031.35,5385.15,8607.51
8031.88,5377.6,8616.52
