X, Y, Z
7610.75,6228.06,7270.01
7611.48,6227.93,7269.9
7613.57,6227.55,7269.56
7616.94,6226.94,7269.03
7621.49,6226.11,7268.33
7627.1,6225.07,7267.49
7633.69,6223.83,7266.52
7641.15,6222.41,7265.46
7649.38,6220.82,7264.32
7658.27,6219.07,7263.14
7667.73,6217.18,7261.94
7677.66,6215.15,7260.73
7687.94,6213.01,7259.55
7698.5,6210.76,7258.43
7709.21,6208.43,7257.37
7719.99,6206.01,7256.42
7730.72,6203.52,7255.59
7741.32,6200.99,7254.9
7751.67,6198.41,7254.39
7761.71,6195.8,7254.07
7771.42,6193.17,7253.94
7780.84,6190.5,7254
7789.97,6187.82,7254.24
7798.81,6185.11,7254.65
7807.39,6182.38,7255.25
7815.72,6179.62,7256.02
7823.81,6176.85,7256.96
7831.67,6174.05,7258.06
7839.31,6171.24,7259.33
7846.75,6168.42,7260.76
7854,6165.58,7262.34
7861.07,6162.72,7264.08
7867.98,6159.85,7265.96
7874.73,6156.98,7268
7881.34,6154.09,7270.18
7887.83,6151.19,7272.49
7894.2,6148.29,7274.95
7900.47,6145.38,7277.53
7906.64,6142.46,7280.25
7912.74,6139.54,7283.09
7918.78,6136.62,7286.06
7924.76,6133.7,7289.15
7930.7,6130.78,7292.35
7936.62,6127.86,7295.67
7942.52,6124.94,7299.1
7948.41,6122.02,7302.63
7954.32,6119.11,7306.27
7960.23,6116.21,7310.01
7966.15,6113.31,7313.84
7972.08,6110.41,7317.77
7978.01,6107.51,7321.78
7983.95,6104.6,7325.88
7989.89,6101.7,7330.05
7995.83,6098.79,7334.31
8001.77,6095.88,7338.63
8007.71,6092.96,7343.03
8013.65,6090.03,7347.49
8019.58,6087.1,7352.01
8025.51,6084.15,7356.59
8031.44,6081.2,7361.22
8037.35,6078.23,7365.9
8043.26,6075.25,7370.63
8049.16,6072.25,7375.4
8055.04,6069.23,7380.21
8060.92,6066.2,7385.05
8066.78,6063.15,7389.92
8072.62,6060.08,7394.82
8078.45,6056.99,7399.74
8084.26,6053.88,7404.67
8090.06,6050.74,7409.63
8095.83,6047.57,7414.59
8101.58,6044.38,7419.56
8107.31,6041.17,7424.54
8113.02,6037.92,7429.51
8118.7,6034.64,7434.48
8124.35,6031.33,7439.44
8129.98,6027.99,7444.39
8135.58,6024.62,7449.33
8141.15,6021.21,7454.24
8146.69,6017.77,7459.14
8152.2,6014.29,7464.03
8157.69,6010.79,7468.9
8163.15,6007.26,7473.75
8168.58,6003.7,7478.6
8173.99,6000.11,7483.43
8179.38,5996.51,7488.26
8184.74,5992.87,7493.07
8190.08,5989.22,7497.88
8195.39,5985.55,7502.69
8200.69,5981.86,7507.49
8205.96,5978.15,7512.28
8211.21,5974.42,7517.08
8216.44,5970.69,7521.87
8221.66,5966.93,7526.66
8226.85,5963.17,7531.46
8232.03,5959.4,7536.25
8237.19,5955.62,7541.05
8242.33,5951.83,7545.86
8247.46,5948.04,7550.67
8252.57,5944.24,7555.48
8257.67,5940.44,7560.31
8262.75,5936.63,7565.15
8267.83,5932.83,7569.99
8272.88,5929.03,7574.85
8277.93,5925.23,7579.72
8282.97,5921.44,7584.61
8287.99,5917.65,7589.51
8293.01,5913.86,7594.42
8298.01,5910.09,7599.36
8303.01,5906.33,7604.31
8308,5902.58,7609.29
8312.98,5898.84,7614.28
8317.96,5895.11,7619.3
8322.93,5891.4,7624.34
8327.89,5887.7,7629.41
8332.85,5884.02,7634.49
8337.8,5880.34,7639.59
8342.74,5876.68,7644.72
8347.68,5873.02,7649.85
8352.61,5869.36,7655.01
8357.53,5865.71,7660.18
8362.44,5862.05,7665.36
8367.35,5858.4,7670.55
8372.24,5854.74,7675.76
8377.13,5851.08,7680.97
8382.01,5847.42,7686.19
8386.88,5843.74,7691.41
8391.74,5840.06,7696.64
8396.59,5836.36,7701.88
8401.43,5832.65,7707.12
8406.26,5828.92,7712.35
8411.08,5825.18,7717.59
8415.88,5821.41,7722.83
8420.68,5817.63,7728.06
8425.47,5813.83,7733.29
8430.24,5809.99,7738.51
8435,5806.14,7743.73
8439.75,5802.25,7748.93
8444.49,5798.34,7754.13
8449.21,5794.39,7759.32
8453.93,5790.41,7764.49
8458.63,5786.4,7769.65
8463.31,5782.34,7774.8
8467.98,5778.25,7779.93
8472.64,5774.13,7785.04
8477.29,5769.96,7790.13
8481.92,5765.76,7795.21
8486.54,5761.52,7800.26
8491.15,5757.24,7805.29
8495.74,5752.92,7810.3
8500.32,5748.56,7815.29
8504.88,5744.16,7820.25
8509.44,5739.72,7825.18
8513.98,5735.24,7830.09
8518.5,5730.71,7834.97
8523.02,5726.15,7839.82
8527.52,5721.55,7844.64
8532.01,5716.9,7849.43
8536.48,5712.21,7854.18
8540.95,5707.48,7858.9
8545.4,5702.71,7863.59
8549.83,5697.9,7868.23
8554.26,5693.04,7872.85
8558.67,5688.13,7877.42
8563.07,5683.18,7881.95
8567.46,5678.19,7886.45
8571.83,5673.16,7890.9
8576.19,5668.08,7895.31
8580.54,5662.95,7899.67
8584.88,5657.78,7903.99
8589.2,5652.56,7908.27
8593.51,5647.29,7912.5
8597.81,5641.99,7916.69
8602.09,5636.64,7920.84
8606.36,5631.25,7924.95
8610.61,5625.82,7929.02
8614.84,5620.35,7933.06
8619.06,5614.84,7937.07
8623.26,5609.29,7941.05
8627.45,5603.71,7945
8631.61,5598.09,7948.92
8635.76,5592.44,7952.82
8639.89,5586.76,7956.69
8643.99,5581.04,7960.54
8648.08,5575.29,7964.37
8652.15,5569.51,7968.19
8656.19,5563.71,7971.99
8660.21,5557.87,7975.77
8664.21,5552.01,7979.55
8668.18,5546.12,7983.31
8672.13,5540.21,7987.06
8676.06,5534.27,7990.81
8679.96,5528.31,7994.55
8683.83,5522.33,7998.29
8687.68,5516.33,8002.03
8691.5,5510.3,8005.77
8695.29,5504.26,8009.52
8699.06,5498.2,8013.26
8702.79,5492.13,8017.02
8706.5,5486.04,8020.78
8710.18,5479.93,8024.55
8713.82,5473.81,8028.33
8717.44,5467.68,8032.13
8721.02,5461.54,8035.94
8724.57,5455.39,8039.78
8728.09,5449.22,8043.63
8731.58,5443.05,8047.5
8735.03,5436.87,8051.39
8738.44,5430.69,8055.31
8741.83,5424.5,8059.26
8745.17,5418.3,8063.23
8748.48,5412.1,8067.23
8751.75,5405.9,8071.25
8754.97,5399.68,8075.3
8758.16,5393.47,8079.37
8761.3,5387.24,8083.46
8764.4,5381.01,8087.58
8767.46,5374.77,8091.72
8770.46,5368.52,8095.88
8773.42,5362.27,8100.06
8776.32,5356.01,8104.25
8779.18,5349.74,8108.47
8781.98,5343.47,8112.71
8784.73,5337.18,8116.96
8787.42,5330.89,8121.23
8790.06,5324.58,8125.51
8792.63,5318.27,8129.81
8795.15,5311.95,8134.13
8797.61,5305.62,8138.46
8800,5299.28,8142.8
8802.33,5292.93,8147.15
8804.6,5286.57,8151.52
8806.8,5280.2,8155.89
8808.93,5273.81,8160.28
8810.99,5267.42,8164.68
8812.98,5261.02,8169.08
8814.9,5254.6,8173.5
8816.75,5248.17,8177.92
8818.52,5241.73,8182.34
8820.21,5235.28,8186.78
8821.83,5228.82,8191.22
8823.37,5222.34,8195.66
8824.83,5215.85,8200.11
8826.2,5209.35,8204.56
8827.5,5202.83,8209.01
8828.71,5196.3,8213.46
8829.84,5189.75,8217.92
8830.9,5183.2,8222.38
8831.88,5176.63,8226.83
8832.8,5170.04,8231.28
8833.64,5163.44,8235.73
8834.41,5156.83,8240.17
8835.12,5150.2,8244.61
8835.77,5143.56,8249.05
8836.35,5136.91,8253.48
8836.88,5130.24,8257.9
8837.35,5123.55,8262.31
8837.77,5116.85,8266.71
8838.14,5110.14,8271.11
8838.46,5103.41,8275.49
8838.73,5096.67,8279.86
8838.95,5089.92,8284.21
8839.14,5083.14,8288.56
8839.28,5076.36,8292.88
8839.39,5069.56,8297.2
8839.46,5062.74,8301.49
8839.5,5055.91,8305.77
8839.51,5049.06,8310.03
8839.48,5042.2,8314.27
8839.44,5035.33,8318.49
8839.37,5028.43,8322.69
8839.27,5021.53,8326.87
8839.16,5014.6,8331.02
8839.03,5007.67,8335.15
8838.89,5000.71,8339.26
8838.73,4993.74,8343.34
8838.57,4986.76,8347.4
8838.39,4979.75,8351.42
8838.21,4972.74,8355.42
8838.03,4965.7,8359.39
8837.84,4958.66,8363.33
8837.66,4951.59,8367.24
8837.48,4944.51,8371.11
8837.31,4937.41,8374.95
8837.14,4930.3,8378.76
8836.99,4923.17,8382.54
8836.84,4916.02,8386.28
8836.72,4908.86,8389.98
8836.61,4901.68,8393.64
8836.51,4894.48,8397.27
8836.45,4887.26,8400.86
8836.4,4880.03,8404.41
8836.37,4872.79,8407.92
8836.36,4865.53,8411.39
8836.37,4858.25,8414.83
8836.4,4850.96,8418.23
8836.44,4843.65,8421.6
8836.5,4836.33,8424.93
8836.57,4828.99,8428.23
8836.65,4821.65,8431.5
8836.75,4814.29,8434.74
8836.86,4806.91,8437.95
8836.97,4799.53,8441.12
8837.1,4792.13,8444.27
8837.23,4784.72,8447.39
8837.36,4777.3,8450.49
8837.51,4769.87,8453.55
8837.65,4762.43,8456.59
8837.8,4754.97,8459.61
8837.95,4747.51,8462.6
8838.1,4740.04,8465.57
8838.25,4732.56,8468.52
8838.4,4725.08,8471.45
8838.55,4717.58,8474.35
8838.69,4710.08,8477.24
8838.83,4702.57,8480.1
8838.96,4695.05,8482.95
8839.08,4687.53,8485.78
8839.2,4680,8488.6
8839.31,4672.46,8491.4
8839.41,4664.92,8494.18
8839.49,4657.38,8496.95
8839.56,4649.83,8499.71
8839.62,4642.27,8502.46
8839.67,4634.71,8505.19
8839.7,4627.15,8507.91
8839.71,4619.59,8510.62
8839.7,4612.02,8513.33
8839.68,4604.45,8516.02
8839.63,4596.88,8518.71
8839.57,4589.31,8521.39
8839.48,4581.74,8524.07
8839.37,4574.16,8526.74
8839.23,4566.59,8529.41
8839.07,4559.01,8532.07
8838.88,4551.44,8534.74
8838.66,4543.86,8537.4
8838.41,4536.29,8540.05
8838.14,4528.72,8542.71
8837.83,4521.15,8545.37
8837.49,4513.59,8548.04
8837.12,4506.02,8550.7
8836.71,4498.46,8553.37
8836.27,4490.91,8556.04
8835.79,4483.35,8558.72
8835.27,4475.81,8561.4
8834.72,4468.26,8564.09
8834.12,4460.72,8566.79
8833.48,4453.19,8569.49
8832.8,4445.66,8572.21
8832.08,4438.14,8574.93
8831.32,4430.63,8577.66
8830.52,4423.12,8580.4
8829.67,4415.61,8583.14
8828.8,4408.11,8585.89
8827.88,4400.61,8588.64
8826.93,4393.12,8591.39
8825.95,4385.62,8594.14
8824.94,4378.13,8596.89
8823.9,4370.64,8599.63
8822.83,4363.15,8602.37
8821.73,4355.67,8605.1
8820.61,4348.18,8607.82
8819.47,4340.69,8610.53
8818.3,4333.2,8613.23
8817.12,4325.71,8615.92
8815.91,4318.21,8618.59
8814.69,4310.71,8621.25
8813.45,4303.21,8623.88
8812.2,4295.71,8626.5
8810.94,4288.2,8629.1
8809.66,4280.68,8631.67
8808.37,4273.16,8634.22
8807.08,4265.64,8636.74
8805.78,4258.1,8639.24
8804.47,4250.56,8641.7
8803.16,4243.02,8644.14
8801.85,4235.46,8646.55
8800.53,4227.9,8648.92
8799.22,4220.32,8651.25
8797.91,4212.74,8653.55
8796.61,4205.14,8655.81
8795.31,4197.54,8658.04
8794.01,4189.92,8660.22
8792.73,4182.29,8662.35
8791.45,4174.65,8664.45
8790.19,4167,8666.49
8788.94,4159.33,8668.49
8787.7,4151.65,8670.44
8786.48,4143.95,8672.34
8785.28,4136.24,8674.19
8784.09,4128.51,8675.99
8782.93,4120.77,8677.73
8781.79,4113.01,8679.41
8780.66,4105.23,8681.04
8779.56,4097.44,8682.61
8778.48,4089.63,8684.12
8777.41,4081.81,8685.58
8776.36,4073.97,8686.99
8775.32,4066.13,8688.34
8774.3,4058.26,8689.64
8773.29,4050.39,8690.88
8772.29,4042.51,8692.07
8771.3,4034.61,8693.21
8770.32,4026.7,8694.29
8769.35,4018.79,8695.32
8768.38,4010.86,8696.3
8767.42,4002.93,8697.23
8766.46,3994.99,8698.1
8765.51,3987.04,8698.93
8764.55,3979.08,8699.7
8763.6,3971.12,8700.43
8762.65,3963.15,8701.1
8761.7,3955.17,8701.73
8760.74,3947.2,8702.3
8759.78,3939.21,8702.83
8758.81,3931.23,8703.31
8757.84,3923.24,8703.74
8756.86,3915.24,8704.12
8755.87,3907.25,8704.45
8754.87,3899.26,8704.74
8753.86,3891.26,8704.98
8752.84,3883.26,8705.17
8751.8,3875.27,8705.32
8750.75,3867.27,8705.42
8749.68,3859.28,8705.48
8748.6,3851.29,8705.49
8747.5,3843.3,8705.45
8746.38,3835.32,8705.37
8745.24,3827.33,8705.25
8744.08,3819.36,8705.08
8742.89,3811.39,8704.88
8741.68,3803.42,8704.62
8740.45,3795.46,8704.33
8739.19,3787.51,8703.99
8737.91,3779.56,8703.6
8736.6,3771.62,8703.18
8735.27,3763.68,8702.71
8733.92,3755.76,8702.19
8732.54,3747.84,8701.63
8731.14,3739.93,8701.03
8729.72,3732.03,8700.38
8728.27,3724.14,8699.69
8726.8,3716.25,8698.95
8725.31,3708.38,8698.17
8723.79,3700.51,8697.34
8722.26,3692.66,8696.46
8720.7,3684.81,8695.54
8719.12,3676.98,8694.57
8717.52,3669.16,8693.56
8715.9,3661.34,8692.5
8714.25,3653.54,8691.39
8712.59,3645.75,8690.24
8710.9,3637.98,8689.03
8709.2,3630.21,8687.78
8707.47,3622.46,8686.49
8705.72,3614.72,8685.14
8703.96,3607,8683.75
8702.17,3599.28,8682.3
8700.36,3591.58,8680.81
8698.54,3583.9,8679.27
8696.69,3576.23,8677.68
8694.83,3568.57,8676.04
8692.94,3560.93,8674.36
8691.04,3553.31,8672.62
8689.12,3545.7,8670.83
8687.18,3538.11,8668.99
8685.22,3530.53,8667.1
8683.25,3522.97,8665.16
8681.25,3515.43,8663.17
8679.24,3507.9,8661.13
8677.21,3500.39,8659.04
8675.17,3492.9,8656.9
8673.1,3485.43,8654.7
8671.02,3477.97,8652.45
8668.92,3470.54,8650.16
8666.81,3463.12,8647.81
8664.68,3455.73,8645.41
8662.52,3448.35,8642.96
8660.35,3441,8640.46
8658.17,3433.67,8637.92
8655.96,3426.36,8635.32
8653.74,3419.07,8632.68
8651.5,3411.81,8629.98
8649.24,3404.56,8627.24
8646.96,3397.35,8624.45
8644.66,3390.15,8621.62
8642.34,3382.98,8618.74
8640.01,3375.84,8615.81
8637.65,3368.72,8612.83
8635.28,3361.63,8609.81
8632.89,3354.57,8606.74
8630.48,3347.53,8603.63
8628.05,3340.52,8600.47
8625.6,3333.54,8597.27
8623.12,3326.59,8594.02
8620.64,3319.66,8590.73
8618.13,3312.77,8587.39
8615.6,3305.91,8584.01
8613.05,3299.07,8580.59
8610.48,3292.27,8577.13
8607.89,3285.5,8573.62
8605.28,3278.76,8570.07
8602.65,3272.05,8566.48
8600,3265.38,8562.84
8597.33,3258.74,8559.17
8594.63,3252.13,8555.45
8591.92,3245.56,8551.7
8589.19,3239.02,8547.9
8586.43,3232.52,8544.06
8583.66,3226.05,8540.18
8580.86,3219.62,8536.27
8578.04,3213.23,8532.31
8575.2,3206.87,8528.32
8572.34,3200.55,8524.29
8569.46,3194.26,8520.21
8566.56,3188.02,8516.11
8563.63,3181.8,8511.97
8560.69,3175.62,8507.79
8557.72,3169.48,8503.58
8554.74,3163.36,8499.34
8551.73,3157.28,8495.07
8548.71,3151.23,8490.76
8545.66,3145.21,8486.43
8542.59,3139.22,8482.07
8539.51,3133.26,8477.67
8536.41,3127.33,8473.26
8533.28,3121.43,8468.81
8530.14,3115.55,8464.34
8526.98,3109.7,8459.85
8523.8,3103.88,8455.33
8520.6,3098.08,8450.79
8517.39,3092.31,8446.23
8514.15,3086.56,8441.65
8510.9,3080.84,8437.05
8507.63,3075.13,8432.43
8504.34,3069.45,8427.79
8501.04,3063.8,8423.13
8497.71,3058.16,8418.46
8494.37,3052.54,8413.78
8491.02,3046.94,8409.08
8487.64,3041.36,8404.36
8484.25,3035.8,8399.64
8480.85,3030.25,8394.9
8477.42,3024.72,8390.15
8473.98,3019.21,8385.39
8470.53,3013.71,8380.63
8467.06,3008.23,8375.85
8463.57,3002.76,8371.07
8460.07,2997.31,8366.28
8456.55,2991.87,8361.49
8453.02,2986.44,8356.7
8449.47,2981.02,8351.9
8445.91,2975.61,8347.1
8442.33,2970.21,8342.29
8438.74,2964.82,8337.49
8435.13,2959.44,8332.69
8431.51,2954.07,8327.88
8427.88,2948.7,8323.08
8424.23,2943.34,8318.29
8420.57,2937.99,8313.5
8416.9,2932.64,8308.71
8413.21,2927.3,8303.93
8409.51,2921.96,8299.16
8405.79,2916.63,8294.39
8402.07,2911.29,8289.63
8398.33,2905.96,8284.89
8394.58,2900.63,8280.15
8390.81,2895.3,8275.42
8387.04,2889.97,8270.71
8383.25,2884.64,8266.01
8379.45,2879.32,8261.32
8375.64,2873.99,8256.64
8371.81,2868.66,8251.97
8367.98,2863.34,8247.31
8364.14,2858.02,8242.66
8360.28,2852.7,8238.01
8356.42,2847.39,8233.37
8352.55,2842.08,8228.73
8348.66,2836.78,8224.1
8344.77,2831.49,8219.47
8340.87,2826.2,8214.84
8336.96,2820.92,8210.21
8333.05,2815.64,8205.58
8329.12,2810.38,8200.95
8325.19,2805.12,8196.32
8321.25,2799.88,8191.69
8317.31,2794.64,8187.05
8313.35,2789.42,8182.41
8309.39,2784.2,8177.76
8305.43,2779,8173.1
8301.46,2773.81,8168.44
8297.48,2768.64,8163.77
8293.5,2763.48,8159.08
8289.51,2758.33,8154.39
8285.52,2753.2,8149.69
8281.52,2748.09,8144.97
8277.52,2742.99,8140.24
8273.52,2737.91,8135.5
8269.51,2732.85,8130.74
8265.5,2727.81,8125.96
8261.49,2722.78,8121.17
8257.47,2717.77,8116.36
8253.45,2712.79,8111.53
8249.43,2707.82,8106.68
8245.41,2702.88,8101.81
8241.38,2697.96,8096.91
8237.36,2693.06,8092
8233.33,2688.19,8087.06
8229.3,2683.34,8082.09
8225.28,2678.51,8077.1
8221.25,2673.71,8072.08
8217.22,2668.93,8067.04
8213.19,2664.18,8061.96
8209.17,2659.46,8056.86
8205.14,2654.77,8051.73
8201.12,2650.1,8046.56
8197.1,2645.46,8041.36
8193.08,2640.86,8036.13
8189.06,2636.28,8030.87
8185.05,2631.73,8025.56
8181.03,2627.21,8020.23
8177.02,2622.73,8014.85
8173.02,2618.28,8009.44
8169.02,2613.86,8003.99
8165.02,2609.48,7998.49
8161.03,2605.13,7992.96
8157.04,2600.81,7987.39
8153.05,2596.53,7981.77
8149.07,2592.29,7976.11
8145.1,2588.08,7970.4
8141.13,2583.91,7964.65
8137.16,2579.78,7958.86
