X, Y, Z
7553.96,6246.11,7224.22
7555.19,6245.67,7224.56
7558.68,6244.41,7225.55
7564.11,6242.44,7227.1
7571.17,6239.86,7229.15
7579.56,6236.78,7231.62
7588.95,6233.3,7234.45
7599.05,6229.52,7237.56
7609.53,6225.55,7240.88
7620.08,6221.48,7244.34
7630.4,6217.43,7247.86
7640.31,6213.46,7251.41
7649.8,6209.56,7254.98
7658.9,6205.73,7258.56
7667.63,6201.96,7262.17
7676,6198.25,7265.8
7684.03,6194.6,7269.45
7691.75,6191.01,7273.13
7699.16,6187.45,7276.82
7706.29,6183.94,7280.54
7713.16,6180.47,7284.28
7719.78,6177.03,7288.04
7726.18,6173.62,7291.83
7732.37,6170.23,7295.63
7738.37,6166.86,7299.46
7744.2,6163.51,7303.32
7749.87,6160.16,7307.2
7755.42,6156.82,7311.1
7760.84,6153.48,7315.03
7766.18,6150.14,7318.98
7771.43,6146.79,7322.95
7776.62,6143.42,7326.96
7781.78,6140.04,7330.98
7786.91,6136.63,7335.03
7792.03,6133.2,7339.11
7797.17,6129.73,7343.21
7802.35,6126.23,7347.34
7807.57,6122.69,7351.5
7812.87,6119.1,7355.68
7818.24,6115.46,7359.89
7823.69,6111.78,7364.13
7829.21,6108.04,7368.4
7834.79,6104.26,7372.69
7840.42,6100.44,7377.02
7846.1,6096.57,7381.38
7851.81,6092.65,7385.78
7857.56,6088.69,7390.2
7863.33,6084.69,7394.66
7869.11,6080.64,7399.16
7874.91,6076.55,7403.7
7880.7,6072.42,7408.27
7886.5,6068.25,7412.88
7892.27,6064.04,7417.53
7898.03,6059.79,7422.22
7903.76,6055.51,7426.96
7909.46,6051.18,7431.74
7915.11,6046.82,7436.56
7920.71,6042.42,7441.42
7926.26,6037.98,7446.33
7931.75,6033.51,7451.29
7937.16,6029,7456.29
7942.49,6024.46,7461.35
7947.74,6019.89,7466.45
7952.89,6015.29,7471.61
7957.95,6010.65,7476.81
7962.9,6005.98,7482.07
7967.73,6001.28,7487.38
7972.44,5996.55,7492.75
7977.02,5991.79,7498.17
7981.46,5987.01,7503.65
7985.76,5982.19,7509.19
7989.9,5977.35,7514.78
7993.89,5972.49,7520.43
7997.73,5967.59,7526.15
