X, Y, Z
9149.4,5324.2,8666.15
9149.49,5323.57,8666.38
9149.75,5321.77,8667.06
9150.18,5318.88,8668.15
9150.74,5315.01,8669.63
9151.44,5310.26,8671.46
9152.26,5304.73,8673.63
9153.19,5298.51,8676.1
9154.21,5291.72,8678.85
9155.31,5284.44,8681.84
9156.48,5276.79,8685.05
9157.7,5268.85,8688.45
9158.96,5260.73,8692.01
9160.26,5252.54,8695.7
9161.56,5244.36,8699.5
9162.88,5236.31,8703.38
9164.18,5228.42,8707.32
9165.48,5220.71,8711.32
9166.78,5213.16,8715.37
9168.07,5205.78,8719.48
9169.35,5198.56,8723.65
9170.63,5191.5,8727.87
9171.91,5184.59,8732.14
9173.18,5177.84,8736.46
9174.45,5171.23,8740.83
9175.71,5164.78,8745.24
9176.96,5158.46,8749.7
9178.21,5152.29,8754.21
9179.46,5146.25,8758.75
9180.69,5140.35,8763.34
9181.93,5134.57,8767.96
9183.16,5128.93,8772.62
9184.38,5123.41,8777.32
9185.6,5118.01,8782.05
9186.81,5112.73,8786.81
9188.02,5107.56,8791.61
9189.22,5102.51,8796.43
9190.42,5097.57,8801.28
9191.61,5092.73,8806.16
9192.79,5088,8811.06
9193.97,5083.37,8815.99
9195.15,5078.83,8820.93
9196.32,5074.39,8825.9
9197.48,5070.04,8830.88
9198.64,5065.78,8835.88
9199.79,5061.6,8840.9
9200.94,5057.51,8845.92
9202.08,5053.49,8850.96
9203.21,5049.55,8856.02
9204.34,5045.68,8861.07
9205.46,5041.88,8866.14
9206.58,5038.15,8871.21
9207.69,5034.48,8876.29
9208.8,5030.87,8881.37
9209.9,5027.32,8886.44
9210.99,5023.82,8891.52
9212.08,5020.37,8896.6
9213.16,5016.97,8901.67
9214.24,5013.62,8906.73
9215.31,5010.31,8911.79
9216.37,5007.04,8916.84
9217.43,5003.8,8921.88
9218.48,5000.59,8926.91
9219.53,4997.42,8931.92
9220.57,4994.27,8936.92
9221.6,4991.15,8941.9
9222.63,4988.04,8946.87
9223.65,4984.95,8951.81
9224.66,4981.88,8956.73
9225.67,4978.82,8961.63
9226.67,4975.77,8966.51
9227.67,4972.72,8971.36
9228.66,4969.67,8976.18
9229.64,4966.62,8980.97
9230.62,4963.57,8985.73
9231.59,4960.51,8990.46
9232.55,4957.44,8995.15
9233.51,4954.36,8999.81
9234.46,4951.26,9004.43
9235.4,4948.14,9009.01
9236.34,4945,9013.55
9237.27,4941.83,9018.05
9238.19,4938.63,9022.51
9239.11,4935.41,9026.92
9240.02,4932.14,9031.29
9240.92,4928.84,9035.6
9241.82,4925.5,9039.87
9242.71,4922.11,9044.08
9243.6,4918.68,9048.24
9244.47,4915.2,9052.35
9245.34,4911.66,9056.4
9246.21,4908.07,9060.39
9247.06,4904.42,9064.33
9247.91,4900.7,9068.2
9248.76,4896.92,9072.01
9249.59,4893.07,9075.75
9250.42,4889.15,9079.43
9251.24,4885.16,9083.04
9252.06,4881.08,9086.59
9252.86,4876.93,9090.06
9253.67,4872.69,9093.46
9254.46,4868.36,9096.79
9255.24,4863.95,9100.04
9256.02,4859.44,9103.21
9256.79,4854.84,9106.31
